komentar,clean_text
PENJUALNYA TIDAK AMANAH YG DIPESAN CITY DWS WARNA BIRU YG DATANG KAOS NYA MADRID WARNA PUTIH😡😡😡,jual tidak amanah yang pes city dws warna biru yang datang kaos nya madrid warna putih
"kalau barang GK ada tuh jangan asal kirim , bisa chat dulu atau gimanah , gk pesan yang ini di kirim ini",kalau barang tidak ada tuh jangan asal kirim bisa chat dulu atau gimanah tidak pesan yang ini di kirim ini
Pesanan sudah sampai dengan selamat dan tidak sesuai pesanan lumayan harga segitu dapat kaos bagus,pesan sudah sampai dengan selamat dan tidak sesuai pesan lumayan harga segitu dapat kaos bagus
Terima kasih kurir bahan na karet,terima kasih kurir bahan na karet
Ko gak amanah belinya kos Persib kenapaa yang datang kaos Indonesia mengecewakan ini toko,ko gak amanah beli kos persib kenapaa yang datang kaos indonesia kecewa ini toko
"oon kenapa gini,pdhl udh 2 kali beli, kalo yang 1 nya aman",oon kenapa ginipdhl udh kali beli kalo yang nya aman
"Tokonya TDK amanah,,, sy pesan 2 kostum yg berbeda malah di kirimnya dua kostum yg sama...",toko tidak amanah sy pesan kostum yang beda malah di kirim dua kostum yang sama
"Karakteristik: Baju Tidak sesuai gambar, motif nya malah bintik bintuk, padahal di gambar bagus",karakteristik baju tidak sesuai gambar motif nya malah bintik bintuk padahal di gambar bagus
bagus tapi logo real Madrid nya item,bagus tapi logo real madrid nya item
Kemarin sdh aq chat 2 lembar 1 lembar temnas 1 nya juventus knp datang dua dua nya temnas,kemarin sdh aq chat lembar lembar temnas nya juventus knp datang dua dua nya temnas
"Mohon maaf , kak saya pesan jersey real madrid, kok yg datang jersey timnas indonesia , mohon maaf 🙏🙏",mohon maaf kak saya pesan jersey real madrid kok yang datang jersey timnas indonesia mohon maaf
Woiii saya pesan nya jersey city 2 timnas 1 bukan timnas semua...malah di kirim nya timnas semua..jualan nya gini amat..,woiii saya pesan nya jersey city timnas bukan timnas muamalah di kirim nya timnas semuajualan nya gin amat
Malah di kirim nya timnas semua..gimana sih toko ini jualan..kecewa saya,malah di kirim nya timnas semuagimana sih toko ini jualankecewa saya
"Barang yang saya terima tidak sesuai dengan pesanan. Pesan Jersey Timnas yang putih merah tapi yang datang beda. Cukup kecewa, mohon lebih teliti lagi ke depannya.",barang yang saya terima tidak sesuai dengan pesan pesan jersey timnas yang putih merah tapi yang datang beda cukup kecewa mohon lebih teliti lagi ke depan
"yang dipesen jersey persib, tapi yang dateng jersey timnas.. lain kali lebih teliti lagi ya kk🙏",yang sen jersey persib tapi yang dateng jersey timnas lain kali lebih teliti lagi ya kk
Alhmdulil baju sudah dtg .lumayan lah dengan harga sgitu gerah sih si pakenya,alhmdulil baju sudah dtg lumayan lah dengan harga sgitu gerah sih si pakenya
"Maaf, ini yang datang malah Jersey Al Nasr padahal pesen Jersey Dortmund",maaf ini yang datang malah jersey al nasr padahal sen jersey dortmund
"murah, baguss lagii🤍, ga zonk kirain kalau murah bakalann zonkk ternyata ngga, ukuran nya pas walau aga kegedean dikitt Bentuk dan ukuran: L Bahan: tipis Warna: putih",murah baguss lagi tidak zonk kirain kalau murah bakalann zonkk nyata ngga ukur nya pas walau aga gede dikitt bentuk dan ukur l bahan tipis warna putih
Bagus tapi logonya gak sesuai di poto,bagus tapi logo gak sesuai di poto
Bentuk dan ukuran: Agak kekecilan syg UK XXL nggak ada Bahan: Lumayan Warna: Sesuai Karakteristik: Agak tipis cuma wajar harga segitu,bentuk dan ukur agak kecil syg uk xxl tidak ada bahan lumayan warna sesuai karakteristik agak tipis cuma wajar harga segitu
Saya minta ukuran L yg di kirim XL kebesaran,saya minta ukur l yang di kirim xl besar
"Baguss hanya ukuran L nya terlalu kecil,tapi sesuai lah dengan harganya",baguss hanya ukur l nya terlalu keciltapi sesuai lah dengan harga
Bahan lumayan tp sayang ukuran L gk sesuai diskripsi kaya S Pengiriman cepet 👍,bahan lumayan tp sayang ukur l tidak sesuai skripsi kaya s kirim cepet
Motip baju nya bagus cuman dasar baju nya tipis,motip baju nya bagus cuman dasar baju nya tipis
Bentuk dan ukuran: Pas di badan bagus Bahan: Bagus sesuai dengan harga Warna: Lumayan suka,bentuk dan ukur pas di badan bagus bahan bagus sesuai dengan harga warna lumayan suka
Bahan: adem Warna: sesuai Bentuk dan ukuran: pas ternyata ukuran L nya indo bukan luar,bahan adem warna sesuai bentuk dan ukur pas nyata ukur l nya indo bukan luar
Bahan: lumayan Bentuk dan ukuran: kurang rapi,bahan lumayan bentuk dan ukur kurang rapi
Pesan Al Nassr yg dtng malah timnas. Emang sih warnanya sama. Tolong lain kali lebih teliti lagi,pesan al nassr yang dtng malah timnas emang sih warna sama tolong lain kali lebih teliti lagi
Kurang masalahnya baju yang saya pesan salah warna,kurang masalah baju yang saya pesan salah warna
Ko datang nya kaos timnas.padahal pesenya kaos Madrid..,ko datang nya kaos timnaspadahal pese kaos madrid
Ukuran pas..bahan bagus..sesuai harga..joss,ukur pasbahan bagussesuai hargajoss
Bentuk dan ukuran: kekecilan dan ketat Bahan: tipis Warna: bagus Karakteristik: modelnya bagus tapi ukuran dan bahan nya minim,bentuk dan ukur kecil dan ketat bahan tipis warna bagus karakteristik model bagus tapi ukur dan bahan nya minim
"Tidak sesuai pesanan,pesan Jersey Argentina yg datang Jersey timnas,tidak ada konfirmasi juga...",tidak sesuai pesananpesan jersey argentina yang datang jersey timnastidak ada konfirmasi juga
Bentuk dan ukuran: Pass Bahan: Lumayan dengan harga segitu Warna: Putihh,bentuk dan ukur pass bahan lumayan dengan harga segitu warna putihh
Jahitan nya kurang rapi..,jahit nya kurang rapi
Sesuai harganya lah pokoknya Bentuk dan ukuran: Pas,sesuai harga lah pokok bentuk dan ukur pas
Beli yang Real Madrid tapi datang yang timnas,beli yang real madrid tapi datang yang timnas
"Ukuran L nya kecil Bahan: Tipis,. sesuai harga",ukur l nya kecil bahan tipis sesuai harga
"Bentuk dan ukuran: L Bahan: cantik,bagus Warna: HITAM DWS",bentuk dan ukur l bahan cantikbagus warna hitam dws
Bentuk dan ukuran: Pas&Nyaman di badan Warna: Sesuai dengan Picture &Pesanan,bentuk dan ukur pasnyaman di badan warna sesuai dengan picture pesan
"Barang tidak sesuai pesanan aku Argentina DWS,XL Yg di kirim js timnas Indonesia xL",barang tidak sesuai pesan aku argentina dwsxl yang di kirim js timnas indonesia xl
Lumayan bgd bahan tipis adem cuma dibelakang bajunya gaada nama pemain sepak bolanya,lumayan bgd bahan tipis adem cuma belakang baju gaada nama main sepak bola
XL nya agak kecil.. TPI Bagus sesuai gambar 👍,xl nya agak kecil tpi bagus sesuai gambar
Bentuk dan ukuran: Pas&Nyaman dipakainya Warna: Sesuai dengan Picture dan Pesanan,bentuk dan ukur pasnyaman pakai warna sesuai dengan picture dan pesan
Dari segi model bagus sih hanya kainnya agak panas,dari segi model bagus sih hanya kain agak panas
Saya pesan baju Real Madrid tapi yang datang baju Persib Bandung 😡,saya pesan baju real madrid tapi yang datang baju persib bandung
Bahannya tidak adem ini dan ukurannya tidak sesuai L nya kecil,bahan tidak adem ini dan ukur tidak sesuai l nya kecil
Ukuran baju nya gk ada lg terpaksa ukuran XL tau2 nya kekecilan,ukur baju nya tidak ada lg paksa ukur xl tau nya kecil
Bahanya tipis TPI TDK apa² karna harga murah,bahanya tipis tpi tidak apa karna harga murah
Bahan tipis...di kira setelan taunya bajunya doang,bahan tipisdi kira setel tau baju doang
logo nya rada bikin kecewa si tpi baguss si,logo nya rada bikin kecewa si tpi baguss si
Mintanya jersey real madrid malah yg datang timnas indonesia ...kesal skali😑,minta jersey real madrid malah yang datang timnas indonesia kesal skali
Mohon maaf gan kok salah baju warna apa keliru yha! Saya pesen baju warna hijau tapi kiriman baju warna putih!,mohon maaf gan kok salah baju warna apa keliru yha saya sen baju warna hijau tapi kirim baju warna putih
Pesan Borusia Dortmund kok yg datang al nassr.👎,pesan borusia dortmund kok yang datang al nassr
pesannya BVB diantarnya AL NASR HADEUHHHHHHHH,pesan bvb antar al nasr hadeuhhhhhhhh
Kaos nya bagus enak di pakai buat olahraga,kaos nya bagus enak di pakai buat olahraga
"Bagus sih, cuman saat datang paket dalam keadaan kotor, terus bukanya ini ukuran xl dewasa ya, ko di saya kaya ukuran l",bagus sih cuman saat datang paket dalam ada kotor terus buka ini ukur xl dewasa ya ko di saya kaya ukur l
"Bentuk dan ukuran: XL,pas dengan pesanan Pas dengan yg di posting TPI sayang nya yg Al Nasr nya sya minta warna kuning yg di anter warna hitam,TPI ya sudah lah lumayan Bahan: Lumayan lah sesuai harga Warna: Bagus cuma Al Nasr minta yg kuning yg di kasih hitam , trimakasih dah amanah dn kurirnya baik dan gercep",bentuk dan ukur xlpas dengan pesan pas dengan yang di posting tpi sayang nya yang al nasr nya sya minta warna kuning yang di anter warna hitamtpi ya sudah lah lumayan bahan lumayan lah sesuai harga warna bagus cuma al nasr minta yang kuning yang di kasih hitam trimakasih dah amanah dn kurir baik dan gercep
"Lumayan bagus ya sesuai harga, trimakasih buat tokonya amanah,dan pengiriman nya cepat tepat waktu,kurirnya keren ramah pokoknya Abang Muclis ☺️👍🙏",lumayan bagus ya sesuai harga trimakasih buat toko amanahdan kirim nya cepat tepat waktukurirnya keren ramah pokok abang muclis
bahan enak nyaman dipakai tapi disayangkan saya pesan ukuran XL malah datang L untuk ukuran saya jadi kekecilan,bahan enak nyaman pakai tapi sayang saya pesan ukur xl malah datang l untuk ukur saya jadi kecil
"Salah baju ,mesen Miami yang Dateng Jersey Garuda",salah baju mesen miami yang dateng jersey garuda
"Salah pilih ukuran, tp ok buat yg body langsing..",salah pilih ukur tp ok buat yang body langsing
"Jerseynya jelek, tipis banget, ukuran XL tapi kecil",jerseynya jelek tipis banget ukur xl tapi kecil
Ukuran gak sesuai masak XL kayak ukuran bocah Bentuk dan ukuran: Tidak sesuai terlalu kecil Bahan: Harga segitu yah mau brharap apa Warna: Jreng Karakteristik: Low bgt deh,ukur gak sesuai masak xl kayak ukur bocah bentuk dan ukur tidak sesuai terlalu kecil bahan harga segitu yah mau brharap apa warna jreng karakteristik low banget deh
Bentuk dan ukuran: L DWS Bahan: Bagus Warna: Putih Kurirnya ramah Tapi kecewa karena katanya bisa request nama saya udah nulis nama dan no punggung seperti pada umumnya tapi Dateng Dateng nggak ada namanya dan no punggungnya,bentuk dan ukur l dws bahan bagus warna putih kurir ramah tapi kecewa karena kata bisa request nama saya udah nulis nama dan no punggung seperti pada umum tapi dateng dateng tidak ada nama dan no punggung
Bahan nya tipis dan kotor tidak sesuai dengan pesanan,bahan nya tipis dan kotor tidak sesuai dengan pesan
Ukuran XL tpi kecil,ukur xl tpi kecil
sama logo nya lucu tapi udh baguss juga kurang di logo nya aj,sama logo nya lucu tapi udh baguss juga kurang di logo nya aj
Bahan nya tipis bangat dan kotor tidak sesuai,bahan nya tipis bangat dan kotor tidak sesuai
tipis bed tapi gpp ada harga ada kualtis tralamelo tralala porkodino porkola🤪,tipis bed tapi gpp ada harga ada kualtis tralamelo tralala porkodino porkola
Aku kira ukuranXL bakalan besar eh ternyata sama kaya ukuran L JERSYKU,aku kira ukuranxl bakal besar eh nyata sama kaya ukur l jersyku
Bahan nya kurang bagus agak panas,bahan nya kurang bagus agak panas
Bentuk dan ukuran: Pas,bentuk dan ukur pas
bahan nya bagus nyaman juga buat di pake,bahan nya bagus nyaman juga buat di pake
Bahan tipiss ongkir mahall tidak sesuai ekspektasi 💔,bahan tipiss ongkir mahall tidak sesuai ekspektasi
Lumayan bagus tp ternyata timbul logo nya,lumayan bagus tp nyata timbul logo nya
Pesanannya lain diantarnya lain Bentuk dan ukuran: XL,pesan lain antar lain bentuk dan ukur xl
Pesan Argentina yang datang malah indo kocak,pesan argentina yang datang malah indo kocak
Barang tidak sesuai dengan yang di pesan,barang tidak sesuai dengan yang di pesan
Parah gak sesuai minta warna apa di kirim warna ginian,parah gak sesuai minta warna apa di kirim warna ginian
"Alhamdulillah barang cepat datangnya,tidak mengecewakan utk harga segitu",alhamdulillah barang cepat datangnyatidak kecewa utk harga segitu
Agak kecewa pean warna navy datangnya kuning.tapi Its okeee dengan harga segitu,agak kecewa pean warna navy datang kuningtapi its okeee dengan harga segitu
Kaos nya tipis pas di pake gatel,kaos nya tipis pas di pake gatel
Barang datang sudah sesuai akan tetapi ukuran XL untuk anak2 bukan dewasa,barang datang sudah sesuai akan tetapi ukur xl untuk anak bukan dewasa
Bahan: Tipis Bentuk dan ukuran: Kecil,bahan tipis bentuk dan ukur kecil
Smpai dengan cepat.barang bagus dengan harga segtu trimaksh buat toko nya,smpai dengan cepatbarang bagus dengan harga segtu trimaksh buat toko nya
"Jersey nya ada tulisan Indonesia, dibagian perut penipuan",jersey nya ada tulis indonesia bagi perut tipu
jelek banget pas datang banyak bintik bintik geli bngt beda banget desainnya tapi bahan nya si bgus bgus aja,jelek banget pas datang banyak bintik bintik geli bngt beda banget desain tapi bahan nya si bgus bgus aja
Bahan: Tidak spt yg kuharapkan Bentuk dan ukuran: Pas Warna: B,bahan tidak spt yang harap bentuk dan ukur pas warna b
Ukuran nya terlalu pres badan... Padahal sudah pesan XL...,ukur nya terlalu pres badan padahal sudah pesan xl
pesenmya hitam dan putih.yg datang merah dan putih,pesenmya hitam dan putihyg datang merah dan putih
"Barang sesuai pesanan ,semoga awet dengan harga yg sangat murah ,trima kasih 🙏",barang sesuai pesan moga awet dengan harga yang sangat murah trima kasih
Kaos lumayan sesuai harga cuma ukurannya XL seperti M,kaos lumayan sesuai harga cuma ukur xl seperti m
Bahannyaa bagusss,bahannyaa bagusss
Bahan: Lumayan sesuai harganya,bahan lumayan sesuai harga
Bagus TPI kurang besar Jersey nya,bagus tpi kurang besar jersey nya
Bentuk dan ukuran: Ukuran nya beda yang Dateng 2 L 1 XL kecewa sih padahal beli yg XL semua,bentuk dan ukur ukur nya beda yang dateng l xl kecewa sih padahal beli yang xl semua
Bahan ny tipis tpi i’ts ok ko,bahan ny tipis tpi i ts ok ko
Kualitas sesuai harga....,kualitas sesuai harga
Baju lumayan sesuai hrg cm ongkir nya mahal,baju lumayan sesuai hrg cm ongkir nya mahal
Oklah sudah datang sesuai pesanan,oklah sudah datang sesuai pesan
"Pesan nya Jersey Argentina, yg datang Jersey timnas. Kecewa",pesan nya jersey argentina yang datang jersey timnas kecewa
"Alhamdulillah barang nya udah sampai, lumayan lah barang nya sesuai dengan harganya terimakasih",alhamdulillah barang nya udah sampai lumayan lah barang nya sesuai dengan harga terimakasih
Ko saya mesen jersey persib yg dateng jersey timnas,ko saya mesen jersey persib yang dateng jersey timnas
bahan bagus tapi ukuran salah bgttt saya psen nya L datengnya XL sangat kecewa,bahan bagus tapi ukur salah bgttt saya psen nya l datengnya xl sangat kecewa
baguss tapi logonya mencong,baguss tapi logo mencong
"Yah sesuai ekspektasi, harga murah",yah sesuai ekspektasi harga murah
Sangat mengecewakan pesan Dortmund yang datang alnassr,sangat kecewa pesan dortmund yang datang alnassr
XL kecil gk muat kain lumayan alus,xl kecil tidak muat kain lumayan alus
"Barang gk sesuwae Penipu,, pili warna biru puti datang nya hitam..modus penipuan nila, 0",barang tidak sesuwae tipu pil warna biru puti datang nya hitammodus tipu nila
Baju nya cukup memuaskan sesuai dengan harga nya,baju nya cukup muas sesuai dengan harga nya
kebesaran mohon bikin ukuran m,besar mohon bikin ukur m
"barang ga sesuai,pesen yang argentina malah datang yang indonesia",barang tidak sesuaipesen yang argentina malah datang yang indonesia
Saya kn minta ada nama nya ko yng sampe g ada namanya,saya kn minta ada nama nya ko yng sampe g ada nama
Barang tida sesua pesen nya argentina yang Dateng malah intermiami payah. 😔😔,barang tida sua sen nya argentina yang dateng malah intermiami payah
"Pesan baju timnas putih, malah timnas hitam yg di kirim,, tidak amanah sesuai pesanan.",pesan baju timnas putih malah timnas hitam yang di kirim tidak amanah sesuai pesan
Pesan Baju mana datang baju mana kecewa sangat,pesan baju mana datang baju mana kecewa sangat
pesannya dortmund ko malah yg dikirim an nassr,pesan dortmund ko malah yang kirim an nassr
"Barang tdk sesuai gambar, beda",barang tidak sesuai gambar beda
Bajunya bagus tapi kebesaran!....,baju bagus tapi besar
Ukuran nya kecilan dan bhn nya tipis,ukur nya kecil dan bhn nya tipis
Bagus Labih bagus lagi kalau ada XXL,bagus labih bagus lagi kalau ada xxl
Pesanan tidak sesuai pesen ijo stabilo ukuran L Dateng warna item ukuran XL,pesan tidak sesuai sen ijo stabilo ukur l dateng warna item ukur xl
apalah min gw pesen yang biru malah kirim yang merah🗿,apa min gw sen yang biru malah kirim yang merah
Tidak bagus warna biru nya luntur+iklan sportfy nya mengelupas,tidak bagus warna biru nya lunturiklan sportfy nya kelupas
"Alhamdulillah barang udah datang, lumayanlah terima ksh, tiktok shop seller dan kurirnya",alhamdulillah barang udah datang lumayan terima ksh tiktok shop seller dan kurir
pesennya hitam dan putih..yg datang merah dan putih,sen hitam dan putihyg datang merah dan putih
Tidak sesuai. Sya minta argentina di kirim timna indo yg putih,tidak sesuai sya minta argentina di kirim timna indo yang putih
"Yang diminta putih tapi yg dikirim hitam tdk sesuai pesanan,, payah",yang minta putih tapi yang kirim hitam tidak sesuai pesan payah
Pesen nya Jersey Madrid kenapa yg Dateng Jersey lain parah,sen nya jersey madrid kenapa yang dateng jersey lain parah
Minta baju argentina malah datangnya ap 😪,minta baju argentina malah datang ap
Tak kirain bagus....ya maklum harga 20 rbu,tak kirain bagusya maklum harga rbu
Mesan yang persib yang datang timnas untuk selebih nya bagus,mesan yang persib yang datang timnas untuk lebih nya bagus
Aku pesan argentina malah datang yang indonesia kecewa lah tpi gpp sih tetap keren,aku pesan argentina malah datang yang indonesia kecewa lah tpi gpp sih tetap keren
Jersey lumayan bagus dengan harga segitu dan saya puas.,jersey lumayan bagus dengan harga segitu dan saya puas
Mengecewakan barang yg datang tidak sesuai gambar,kecewa barang yang datang tidak sesuai gambar
Pesen nya Manchester city.. warna biru langit Yg datang real Madrid warna putih Yok opo see boss boss???,sen nya manchester city warna biru langit yang datang real madrid warna putih yok opo see boss boss
Sangat kecewa paket saya tidak sesuai yg saya pilih .buruk sekali pelayananya .,sangat kecewa paket saya tidak sesuai yang saya pilih buruk sekali pelayananya
Panas banget bange bahan nya Mntpppp,panas banget bange bahan nya mntpppp
Bahan buruk disini Rp. Rp. 18.000.,bahan buruk sini rp rp
pesen argentina dikirim inter miami,sen argentina kirim inter miami
"Warna tidak sesuai , saya pesan warna hijau yg datang warna merah",warna tidak sesuai saya pesan warna hijau yang datang warna merah
Harga murah lumayan bwt sehari hari,harga murah lumayan bwt hari hari
Saya pesen jersey durtmount malah yg mpe Jersey al nasser,saya sen jersey durtmount malah yang mpe jersey al nasser
"Padahl ukuran L dewasa,, yg datang L anak2",padahl ukur l dewasa yang datang l anak
bajunya kotor minta L malah xl,baju kotor minta l malah xl
bagus cuma ukuran L nya kecil,bagus cuma ukur l nya kecil
Makasih bahan lumayan.dan pas wrn yg datang,makasih bahan lumayandan pas wrn yang datang
Ukuran L masi kekecilan,ukur l mas kecil
Minta warna kuning malah dianterin warna item kecewaaaaa,minta warna kuning malah dianterin warna item kecewaaaaa
Ukuran L nya kecil,ukur l nya kecil
Agak kecil di badanku,agak kecil di badan
Udh 3 kali order baju yg datang tidak sesuai pesanan,udh kali order baju yang datang tidak sesuai pesan
kainya tipis kak,kainya tipis kak
Sngt puas untuk hrga segitu...,sngt puas untuk hrga segitu
Alhamdulillah paket ku dah sampai... Untuk hrga segitu lumayan lah... Aq ambil yg warna putih agak nerawang,alhamdulillah paket ku dah sampai untuk hrga segitu lumayan lah aq ambil yang warna putih agak nerawang
Tipis bahannya.....,tipis bahan
XL nya ukuran kecil,xl nya ukur kecil
Tidak sesuai ekspektasi ☹️🙄,tidak sesuai ekspektasi
Bahan nya bagus,bahan nya bagus
Pesen yg warna kuning di krim warna hitam 😔,sen yang warna kuning di krim warna hitam
Di kerahnya mencong,di kerah mencong
Bagus mantap,bagus mantap
Baju gk sesuai dengan gambar nya,baju tidak sesuai dengan gambar nya
"Bahan kasar,panas",bahan kasarpanas
"Saya pesan dontmoun knph yg dikirim Al Nassar ,",saya pesan dontmoun knph yang kirim al nassar
Bahanya panas 😢😢😢,bahanya panas
Sesuai harga,sesuai harga
baguss,baguss
Baguss,baguss
buat main sehari2 oklah,buat main hari oklah
Tipis,tipis
bahan tipis,bahan tipis
Bagus cepat amanah,bagus cepat amanah
"Terimakasih barang sudah sampai dengan waktu yang tepat,",terimakasih barang sudah sampai dengan waktu yang tepat
Gak sesuai yg dipesan,gak sesuai yang pes
rada tipis ey,rada tipis ey
Bahan tipis sesuai harga,bahan tipis sesuai harga
Keren bahan nya adem,keren bahan nya adem
Barang ok sesuai bajet,barang ok sesuai bajet
Warna: pesan merah datang hitam 🤦‍♂️,warna pesan merah datang hitam
baguss cuma agak nerawang,baguss cuma agak nerawang
"pesen madrid, yg dateng timnas. mana lama bgt 5hari baru nyampe",sen madrid yang dateng timnas mana lama banget hari baru nyampe
Bentuk dan ukuran: Kekecilan,bentuk dan ukur kecil
Minta city dws dikirim timnas dws lain kali yg teliti ya,minta city dws kirim timnas dws lain kali yang teliti ya
Toko gq amanah minta Dortmund yg di kirim Al-Nasr...klw emng gq DA gq usah di kirim sangat mengecewakan,toko gq amanah minta dortmund yang di kirim alnasrklw emng gq da gq usah di kirim sangat kecewa
Mau yang kuning di kirim biru,mau yang kuning di kirim biru
Pesen ukran dewasa datengnya ukuran anak anak.,sen ukran dewasa datengnya ukur anak anak
Pesanan sdh sampai... lumayan lah harga murah,pesan sdh sampai lumayan lah harga murah
Lumayan aja buat lari pagi,lumayan aja buat lari pagi
Ke kecil an ka,ke kecil an ka
Ukuran nya kecil,ukur nya kecil
worth it la buat hari hari sama latihan,worth it la buat hari hari sama latih
Mantap lah lumayan sesuai sama pesnan,mantap lah lumayan sesuai sama pesnan
Ukuran XL nya ukuran XL anaak,ukur xl nya ukur xl anaak
Kecil bgt min,kecil banget min
Sablon kaos miring,sablon kaos miring
Mantappp....,mantappp
Bajunya bagus sesuai harga,baju bagus sesuai harga
Bahanya panassss 😢😢😢😢,bahanya panassss
hem segitu jeee,hem segitu jeee
Beli 2 yg dateng 1,beli yang dateng
Tak sesuai ekspektasi,tak sesuai ekspektasi
Sukaaa❤️,sukaaa
"Terimakasih,barang SDH di terima",terimakasihbarang sdh di terima
Dikirim tidak sesuai pesanan,kirim tidak sesuai pesan
Tidak sesuai keinginan pesen warna biru datang merah aduh,tidak sesuai ingin sen warna biru datang merah aduh
saya belum mendapatkan paket itu mungkin salah kirim,saya belum dapat paket itu mungkin salah kirim
cepet banget nyampe nya gacor,cepet banget nyampe nya gacor
ko datang nya yg ukurannya L,ko datang nya yang ukur l
Lumayan lah ya,lumayan lah ya
Kekecilan bang XL mah,kecil bang xl mah
Bagus buat olahraga,bagus buat olahraga
Kurang bagus,kurang bagus
Warna: Bukan lis merah,warna bukan lis merah
Bagus sesuai harga,bagus sesuai harga
Al Hamdulillah,al hamdulillah
Ok sesuai harga,ok sesuai harga
tidak sesuai pilihan yg dikirim,tidak sesuai pilih yang kirim
yang di pesen madrid yg datang persib,yang di sen madrid yang datang persib
Ko sesuai yg saya pesan si,ko sesuai yang saya pesan si
Tidak sesuai pesanan,tidak sesuai pesan
Pesen warna putih yg datang merah,sen warna putih yang datang merah
Bagus,bagus
bagus,bagus
Tidak ada celana nya,tidak ada celana nya
Oke,oke
oke,oke
milih l dapet xl wkwk,milih l dapet xl wkwk
Tidak sesuai,tidak sesuai
Kaosnya bagus anakku suka,kaos bagus anak suka
Tipie,tipie
Nice,nice
Kecewa pesen yg biru ..datang yg merah,kecewa sen yang biru datang yang merah
lumayaan bagus,lumayaan bagus
Bgs,bgs
Lumayan,lumayan
Pas,pas
minta L malah XL,minta l malah xl
salah kirim heh😭,salah kirim heh
Beli warna hitam di kirim merah 🙁🙁,beli warna hitam di kirim merah
Lumayan lah,lumayan lah
Mksh barng y udah sampay,mksh barng y udah sampay
yya,yya
Good,good
Lumayan bagus keren,lumayan bagus keren
Makasih paket nya da nyampek,makasih paket nya da nyampek
Kok belum diambil,kok belum ambil
Terima kasih,terima kasih
Top deh,top deh
"Kualitas barang sih bagus,cuman sablon namanya kurang nempel",kualitas barang sih baguscuman sablon nama kurang nempel
Paket yg datang ngak sesuai katanya full bordir nyatanya zong,paket yang datang ngak sesuai kata full bordir nyata zong
"bagus, kainnya tebel tapi adem",bagus kain tebel tapi adem
"Kalo bahan baju sih oke tapi sablon jelek sekali, sablonnya cacat/berkerut, saya sangat menyesal membeli di toko ini, sablon nya juga tidak menyatu dengan baju",kalo bahan baju sih oke tapi sablon jelek sekali sablon cacatberkerut saya sangat sesal beli di toko ini sablon nya juga tidak satu dengan baju
Bentuk dan ukuran: Ukuran kebesaran dan ada noda nya di kaos,bentuk dan ukur ukur besar dan ada noda nya di kaos
ga ada sablon nya kaya nomer punggu dan nama saya kecewa .,tidak ada sablon nya kaya nomer punggu dan nama saya kecewa
Baju nya bagus kak kainnya lembut Lebih bagus kalo logonya di bordir🥰😍,baju nya bagus kak kain lembut lebih bagus kalo logo di bordir
"Sesuai pesanan, cakep Abang kurir y jga udah langganan",sesuai pesan cakep abang kurir y jga udah langgan
Bahannya bagus yaa Pas bangattt,bahan bagus yaa pas bangattt
"Pengiriman lama,mencapai 10 hari,kualitas kain ok lah bagus,tapi sablonan nomor belakang nya jelek,ngelopek",kirim lamamencapai harikualitas kain ok lah bagustapi sablon nomor belakang nya jelekngelopek
"Bajunya bagus sesuai pesanan dan kainnya agak tebal,hanya saja pengirimannya agak lama",baju bagus sesuai pesan dan kain agak tebalhanya saja kirim agak lama
"Maaf gw kasih 4, tulisan sablonan namanya kecil bngt ga keliatan",maaf gw kasih tulis sablon nama kecil bngt tidak liat
"bahan nya bagus suka banget,lumayan lama sih sampainya soalnya agak jauh tapi gapapa.Puas🔥",bahan nya bagus suka bangetlumayan lama sih sampai soal agak jauh tapi gapapapuas
"mntp sih cocok bgt di badan, kualitas jg oke aja kok. pengiriman juga cepet loh antar pulau pdhl",mntp sih cocok banget di badan kualitas jg oke aja kok kirim juga cepet loh antar pulau pdhl
Sesuai dgn harapan Kain adem Ukuran pas ( M ),sesuai dgn harap kain adem ukur pas m
"Bajunya bagus,tebal,lembut,pokok nya sesuai lah dengan harganya 🥰🥰🥰",baju bagusteballembutpokok nya sesuai lah dengan harga
Bahannya bagus hanya tak ada sablon nama 😅,bahan bagus hanya tak ada sablon nama
Bahan kaosnya standar dan ukuran XL kecil,bahan kaos standar dan ukur xl kecil
Tulisan namanya belum border langsung selain itu kualitasnya bagus.🙏,tulis nama belum border langsung selain itu kualitas bagus
"baguss, tebell, sayangnyaa aku salah milih ukuran, kegedeann, overall BAGUUSSS BGTT",baguss tebell sayangnyaa aku salah milih ukur kegedeann overall baguusss bgtt
Nomor punggungnya tidak divsablon seperti biasanya.,nomor punggung tidak divsablon seperti biasa
Bentuk dan ukuran: Sangat besar Bahan: Bagusss Warna: Cocok Karakteristik: Mantap cuman ukuran y terlalu besar untuk anak usia 14 tahun bro,bentuk dan ukur sangat besar bahan bagusss warna cocok karakteristik mantap cuman ukur y terlalu besar untuk anak usia tahun bro
Sablon nya kurang baguss di prebaiki lagi kedepan nya!!,sablon nya kurang baguss di prebaiki lagi depan nya
"Mantap, tapi harusnya ukuran 4xl itu ukuran 5xl nya",mantap tapi harus ukur xl itu ukur xl nya
Baguss walaupun ada lecet dikit,baguss walaupun ada lecet dikit
Sablon nya ga bagus Warna sablon redub,sablon nya tidak bagus warna sablon redub
Bahan kainnya bagus Cuma sablonnya jelek,bahan kain bagus cuma sablon jelek
